-1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	
10	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	
10	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	
10	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	
10	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0	0	
10	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	
10	1	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0	0	
10	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	1	0	
10	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	
10	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	1	1	0	
10	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	
10	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	
10	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	
10	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	
10	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	
10	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	
10	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	
10	1	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	
10	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	
10	1	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	
10	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	
10	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	
11	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	
11	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	
11	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	
11	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	
11	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	
11	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	
11	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	
11	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	
11	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	
11	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	
11	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	
11	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	
11	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	
11	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	
12	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	
12	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	
12	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	
12	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	
12	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	
12	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	
12	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	
12	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	
12	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	
12	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	
12	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	
12	1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	
12	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	
12	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	
12	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	
12	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	
12	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	
12	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	
12	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	
12	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	
12	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	
12	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	
12	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	
12	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	
12	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	
13	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	
13	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	
13	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	
13	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	
13	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	
13	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	
13	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	
13	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	
13	1	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	
13	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	
13	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	0	
13	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	
13	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	
13	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	
13	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	
13	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	
13	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	1	0	
13	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	
13	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	
13	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	
13	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	
14	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	
14	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	
14	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	
14	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	
14	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	
14	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	
14	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	
14	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	
14	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	
14	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	
14	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	
14	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	
14	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	
14	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	
14	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	
14	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	
15	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	
15	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	
15	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	
15	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	
15	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	
15	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	
15	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	
15	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	
15	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	
15	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	
15	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	
15	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	
15	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	
15	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	
15	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	
15	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	
15	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	
15	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	
15	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	
15	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	
15	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	1	0	
15	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	1	0	
15	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1	1	1	0	
15	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	
15	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	
15	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	
15	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	1	1	0	
15	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	
15	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	
15	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	
15	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	
15	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	
15	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	
15	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	
15	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	
15	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	
16	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	
16	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	
16	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	
16	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	
16	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	
16	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	
16	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	
16	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	
16	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	
16	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	0	
16	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	
16	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	
16	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	
16	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	
16	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	
16	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	
16	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	
16	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	
16	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	
16	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	
16	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	
16	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	
16	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	
16	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	
16	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	0	
17	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	
17	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	
17	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	
17	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	
17	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	
17	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	
17	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	
17	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	
17	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	
17	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	1	0	
17	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	0	1	0	
17	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	
17	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	
17	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	
17	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	
17	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	
17	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	
17	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	
17	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	
17	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	
17	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	
17	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	
17	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	
17	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	
17	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	
17	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	
17	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	
17	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	
17	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	
17	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	
18	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	
18	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	
18	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	
18	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	
18	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	
18	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	
18	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	
18	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	
18	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	
18	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	
18	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	
18	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	
19	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	
19	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	
19	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	
19	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	
19	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	
19	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	
19	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	
19	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	
19	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	
19	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	
19	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	
19	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	
19	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	
19	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	
19	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	
19	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	
19	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	
19	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	
19	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	1	
19	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	
19	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	1	
19	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	1	
19	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	1	
19	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	1	
19	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	
19	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	
19	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	
19	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	
19	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	1	
19	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	
19	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	1	
19	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	
